ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4158231,2024-10-14T10:19:01-04:00,Eight stocks positioned for short sales – Oppenheimer Asset Management,53367831,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4157086,2024-10-12T09:37:00-04:00,"Notable analyst calls this week: Amazon, Microsoft and American Express among top picks",59062064,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1325745799/image_1325745799.jpg
4156720,2024-10-07T08:53:02-04:00,Hershey's profit margin weighed down by input cost pressures and demand backdrop - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/642343083/image_642343083.jpg
4155670,2024-10-02T13:59:12-04:00,Hershey looks for the right recipe to battle high cocoa prices,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1453314674/image_1453314674.jpg
4154325,2024-09-29T09:00:00-04:00,Snacking giants Hershey and Mondelez navigate price hikes and market shifts,59695326,11,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171354161/image_171354161.jpg
4153719,2024-09-26T10:02:46-04:00,Hershey's faces a bittersweet future as chocolate becomes even more discretionary - analyst,59695326,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/476900833/image_476900833.jpg
4144175,2024-08-27T10:25:42-04:00,Hershey's price increases unlikely to keep up with cocoa inflation - analyst,59695326,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1883317951/image_1883317951.jpg
4141935,2024-08-20T11:02:17-04:00,"BellRing Brands, Vital Farms, and General Mills shine in the latest Nielsen data",954720,0,tag,,
4141271,2024-08-18T08:22:05-04:00,"Utz Brands, Celsius, Freshpet could be next M&A targets after Kellanova - analyst",52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458601279/image_458601279.jpg
4139781,2024-08-14T09:26:54-04:00,Kellanova unlikely to see other bidders after agreeing to Mars deal - CNBC,52996117,6,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4139606,2024-08-14T07:08:22-04:00,Cheez-It and Skittles! Kellanova soars as Mars confirms merger,27427253,29,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/511835478/image_511835478.jpg
4138609,2024-08-12T09:06:29-04:00,Goldman favors names in packaged food segment with greater category exposure,59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1485786241/image_1485786241.jpg
4134972,2024-08-06T11:32:34-04:00,Kellanova may be worth $85/share in Mars takeout - analyst,52996117,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4134273,2024-08-05T13:49:55-04:00,Kellanova may be worth $108 a share in takeover - analyst,52996117,7,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4133950,2024-08-05T09:54:51-04:00,Hershey has been interested in looking at Kellanova - report,52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4131900,2024-08-01T09:48:13-04:00,"Biggest stock movers today: META, MRNA, TDOC, and more",32439325,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/913219882/image_913219882.jpg
4132076,2024-08-01T07:42:11-04:00,Hershey declares $1.37 dividend,32439325,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351192703/image_1351192703.jpg
4132129,2024-08-01T07:34:58-04:00,"Hershey drops 5% after earnings slump amid high commodity costs, soft demand",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/452234906/image_452234906.jpg
4132045,2024-08-01T06:48:02-04:00,Hershey misses top-line and bottom-line estimates; updates FY24 outlook,52365730,30,tag,,
4160686,2024-10-15T10:33:48-04:00,"Hershey makes investment to improve lives of cocoa farmers, resiliency of supply",59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1362345647/image_1362345647.jpg
4158231,2024-10-14T10:19:01-04:00,Eight stocks positioned for short sales – Oppenheimer Asset Management,53367831,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4157086,2024-10-12T09:37:00-04:00,"Notable analyst calls this week: Amazon, Microsoft and American Express among top picks",59062064,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1325745799/image_1325745799.jpg
4156720,2024-10-07T08:53:02-04:00,Hershey's profit margin weighed down by input cost pressures and demand backdrop - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/642343083/image_642343083.jpg
4155670,2024-10-02T13:59:12-04:00,Hershey looks for the right recipe to battle high cocoa prices,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1453314674/image_1453314674.jpg
4154325,2024-09-29T09:00:00-04:00,Snacking giants Hershey and Mondelez navigate price hikes and market shifts,59695326,11,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171354161/image_171354161.jpg
4153719,2024-09-26T10:02:46-04:00,Hershey's faces a bittersweet future as chocolate becomes even more discretionary - analyst,59695326,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/476900833/image_476900833.jpg
4144175,2024-08-27T10:25:42-04:00,Hershey's price increases unlikely to keep up with cocoa inflation - analyst,59695326,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1883317951/image_1883317951.jpg
4141935,2024-08-20T11:02:17-04:00,"BellRing Brands, Vital Farms, and General Mills shine in the latest Nielsen data",954720,0,tag,,
4141271,2024-08-18T08:22:05-04:00,"Utz Brands, Celsius, Freshpet could be next M&A targets after Kellanova - analyst",52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458601279/image_458601279.jpg
4139781,2024-08-14T09:26:54-04:00,Kellanova unlikely to see other bidders after agreeing to Mars deal - CNBC,52996117,6,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4139606,2024-08-14T07:08:22-04:00,Cheez-It and Skittles! Kellanova soars as Mars confirms merger,27427253,29,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/511835478/image_511835478.jpg
4138609,2024-08-12T09:06:29-04:00,Goldman favors names in packaged food segment with greater category exposure,59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1485786241/image_1485786241.jpg
4134972,2024-08-06T11:32:34-04:00,Kellanova may be worth $85/share in Mars takeout - analyst,52996117,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4134273,2024-08-05T13:49:55-04:00,Kellanova may be worth $108 a share in takeover - analyst,52996117,7,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4133950,2024-08-05T09:54:51-04:00,Hershey has been interested in looking at Kellanova - report,52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4131900,2024-08-01T09:48:13-04:00,"Biggest stock movers today: META, MRNA, TDOC, and more",32439325,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/913219882/image_913219882.jpg
4132076,2024-08-01T07:42:11-04:00,Hershey declares $1.37 dividend,32439325,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351192703/image_1351192703.jpg
4132129,2024-08-01T07:34:58-04:00,"Hershey drops 5% after earnings slump amid high commodity costs, soft demand",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/452234906/image_452234906.jpg
4132045,2024-08-01T06:48:02-04:00,Hershey misses top-line and bottom-line estimates; updates FY24 outlook,52365730,30,tag,,
4160686,2024-10-15T10:33:48-04:00,"Hershey makes investment to improve lives of cocoa farmers, resiliency of supply",59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1362345647/image_1362345647.jpg
4158231,2024-10-14T10:19:01-04:00,Eight stocks positioned for short sales – Oppenheimer Asset Management,53367831,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4157086,2024-10-12T09:37:00-04:00,"Notable analyst calls this week: Amazon, Microsoft and American Express among top picks",59062064,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1325745799/image_1325745799.jpg
4156720,2024-10-07T08:53:02-04:00,Hershey's profit margin weighed down by input cost pressures and demand backdrop - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/642343083/image_642343083.jpg
4155670,2024-10-02T13:59:12-04:00,Hershey looks for the right recipe to battle high cocoa prices,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1453314674/image_1453314674.jpg
4154325,2024-09-29T09:00:00-04:00,Snacking giants Hershey and Mondelez navigate price hikes and market shifts,59695326,11,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171354161/image_171354161.jpg
4153719,2024-09-26T10:02:46-04:00,Hershey's faces a bittersweet future as chocolate becomes even more discretionary - analyst,59695326,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/476900833/image_476900833.jpg
4144175,2024-08-27T10:25:42-04:00,Hershey's price increases unlikely to keep up with cocoa inflation - analyst,59695326,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1883317951/image_1883317951.jpg
4141935,2024-08-20T11:02:17-04:00,"BellRing Brands, Vital Farms, and General Mills shine in the latest Nielsen data",954720,0,tag,,
4141271,2024-08-18T08:22:05-04:00,"Utz Brands, Celsius, Freshpet could be next M&A targets after Kellanova - analyst",52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458601279/image_458601279.jpg
4139781,2024-08-14T09:26:54-04:00,Kellanova unlikely to see other bidders after agreeing to Mars deal - CNBC,52996117,6,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4139606,2024-08-14T07:08:22-04:00,Cheez-It and Skittles! Kellanova soars as Mars confirms merger,27427253,29,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/511835478/image_511835478.jpg
4138609,2024-08-12T09:06:29-04:00,Goldman favors names in packaged food segment with greater category exposure,59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1485786241/image_1485786241.jpg
4134972,2024-08-06T11:32:34-04:00,Kellanova may be worth $85/share in Mars takeout - analyst,52996117,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4134273,2024-08-05T13:49:55-04:00,Kellanova may be worth $108 a share in takeover - analyst,52996117,7,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4133950,2024-08-05T09:54:51-04:00,Hershey has been interested in looking at Kellanova - report,52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4131900,2024-08-01T09:48:13-04:00,"Biggest stock movers today: META, MRNA, TDOC, and more",32439325,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/913219882/image_913219882.jpg
4132076,2024-08-01T07:42:11-04:00,Hershey declares $1.37 dividend,32439325,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351192703/image_1351192703.jpg
4132129,2024-08-01T07:34:58-04:00,"Hershey drops 5% after earnings slump amid high commodity costs, soft demand",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/452234906/image_452234906.jpg
4132045,2024-08-01T06:48:02-04:00,Hershey misses top-line and bottom-line estimates; updates FY24 outlook,52365730,30,tag,,
4160686,2024-10-15T10:33:48-04:00,"Hershey makes investment to improve lives of cocoa farmers, resiliency of supply",59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1362345647/image_1362345647.jpg
4158231,2024-10-14T10:19:01-04:00,Eight stocks positioned for short sales – Oppenheimer Asset Management,53367831,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4157086,2024-10-12T09:37:00-04:00,"Notable analyst calls this week: Amazon, Microsoft and American Express among top picks",59062064,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1325745799/image_1325745799.jpg
4156720,2024-10-07T08:53:02-04:00,Hershey's profit margin weighed down by input cost pressures and demand backdrop - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/642343083/image_642343083.jpg
4155670,2024-10-02T13:59:12-04:00,Hershey looks for the right recipe to battle high cocoa prices,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1453314674/image_1453314674.jpg
4154325,2024-09-29T09:00:00-04:00,Snacking giants Hershey and Mondelez navigate price hikes and market shifts,59695326,11,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171354161/image_171354161.jpg
4153719,2024-09-26T10:02:46-04:00,Hershey's faces a bittersweet future as chocolate becomes even more discretionary - analyst,59695326,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/476900833/image_476900833.jpg
4144175,2024-08-27T10:25:42-04:00,Hershey's price increases unlikely to keep up with cocoa inflation - analyst,59695326,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1883317951/image_1883317951.jpg
4141935,2024-08-20T11:02:17-04:00,"BellRing Brands, Vital Farms, and General Mills shine in the latest Nielsen data",954720,0,tag,,
4141271,2024-08-18T08:22:05-04:00,"Utz Brands, Celsius, Freshpet could be next M&A targets after Kellanova - analyst",52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458601279/image_458601279.jpg
4139781,2024-08-14T09:26:54-04:00,Kellanova unlikely to see other bidders after agreeing to Mars deal - CNBC,52996117,6,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4139606,2024-08-14T07:08:22-04:00,Cheez-It and Skittles! Kellanova soars as Mars confirms merger,27427253,29,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/511835478/image_511835478.jpg
4138609,2024-08-12T09:06:29-04:00,Goldman favors names in packaged food segment with greater category exposure,59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1485786241/image_1485786241.jpg
4134972,2024-08-06T11:32:34-04:00,Kellanova may be worth $85/share in Mars takeout - analyst,52996117,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4134273,2024-08-05T13:49:55-04:00,Kellanova may be worth $108 a share in takeover - analyst,52996117,7,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4133950,2024-08-05T09:54:51-04:00,Hershey has been interested in looking at Kellanova - report,52996117,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157849121/image_2157849121.jpg
4131900,2024-08-01T09:48:13-04:00,"Biggest stock movers today: META, MRNA, TDOC, and more",32439325,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/913219882/image_913219882.jpg
4132076,2024-08-01T07:42:11-04:00,Hershey declares $1.37 dividend,32439325,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351192703/image_1351192703.jpg
4132129,2024-08-01T07:34:58-04:00,"Hershey drops 5% after earnings slump amid high commodity costs, soft demand",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/452234906/image_452234906.jpg
